id,name,fed,sex,title,wtit,bday,gmYear,deceased,deathYear,revoked,revokedYear,revokedReason,birthCountry,birthCity,fedHistory,photo,photoSource,bio,bioSource,chesscom,chesscomPlayer,lichess,chessgames,website,x,instagram,youtube,twitch,facebook
13413007,"Ahmadzada, Ahmad",AZE,M,GM,,2004,2023,false,,false,,,AZE,Baku,AZE,,,,,,ahmad-ahmadzada,,154706,,,,,,
14109069,"Ajrapetjan, Yuriy",RUS,M,GM,,1988,2007,false,,false,,,ARM,Yerevan,UKR|RUS,,,,,yuriy88,yuriy-ajrapetjan,,87001,,,,,,
5040299,Akash G,IND,M,GM,,1996,2020,false,,false,,,IND,Chennai,IND,,,,,gakashchess,akash-g,,141946,,,,,,
4131045,"Akbaev, Kazbek",RUS,M,GM,,1981,2015,false,,false,,,RUS,Cherkessk,RUS,,,,,,kazbek-akbaev,,76737,,,,,,
1700120,"Akesson, Ralf",SWE,M,GM,,1961,1995,false,,false,,,SWE,Oxelösund,SWE,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Ralf_Akesson_Rilton_Cup_2009.jpg/250px-Ralf_Akesson_Rilton_Cup_2009.jpg,,,,Ralf61,ralf-akesson,,21594,,,,,,
13300580,"Akobian, Varuzhan",USA,M,GM,,1983,2004,false,,false,,,ARM,Yerevan,ARM|USA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/VaruzhanAkobian23.jpg/250px-VaruzhanAkobian23.jpg,,,,GMAkobianSTL,varuzhan-akobian,,51148,http://www.akobian.com,,,,,
13300032,"Akopian, Vladimir",USA,M,GM,,1971,1991,false,,false,,,AZE,Baku,ARM|USA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Vladimir-Akopian.jpg/250px-Vladimir-Akopian.jpg,,,,GMValeduser,vladimir-akopian,,14125,,,,,,
5012414,"Akshayraj, Kore",IND,M,GM,,1988,2013,false,,false,,,IND,Ahmednagar,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Kore_GM_Chess_Paris.jpg/250px-Kore_GM_Chess_Paris.jpg,,,,Akshayraj_Kore,akshayraj-kore,,79905,,,,,,
12100030,"Al-Mudahka, Mohd",QAT,M,GM,,1974,1998,false,,false,,,QAT,,QAT,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/MohammedAlModiahki2013.jpg/250px-MohammedAlModiahki2013.jpg,,,,,mohammed-al-modiahki,,41384,,,,,,
12100196,"Al-Sayed, Mohammed",QAT,M,GM,,1981,2009,false,,false,,,QAT,,QAT,,,,,gmalsayed,mohamad-naser-al-sayed,,49491,,,,,,
W4681965,"Alatortsev, Vladimir",URS,M,GM,,1909,1983,true,1987,false,,,URS,Turki,URS,,,,,,,,,,,,,,
4120612,"Alavkin, Arseny",RUS,M,GM,,1969,2010,false,,false,,,RUS,Kazan,RUS,,,,,Niktlt,arseny-alavkin,,50144,,,,,,
3518736,"Albornoz Cabrera, Carlos Daniel",CUB,M,GM,,2000,2019,false,,false,,,CUB,Camagüey,CUB,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Carlos_Daniel_Albornoz_Cabrera_%28cropped%29.jpg/250px-Carlos_Daniel_Albornoz_Cabrera_%28cropped%29.jpg,,,,CarlosAlbornoz,carlos-daniel-albornoz-cabrera,,157841,,,carlosdanielalbornozcabrera,,,GMCarlosDanielAlbornozCabrera
2000156,"Alburt, Lev",USA,M,GM,,1945,1977,false,,false,,,RUS,Orenburg,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Lev_Alburt_1980_Malta.jpg/250px-Lev_Alburt_1980_Malta.jpg,,,,,lev-alburt,,15271,,,,,,
13500139,"Aleksandrov, Aleksej",BLR,M,GM,,1973,1997,false,,false,,,BLR,Kobryn,BLR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Aleksej_Aleksandrov_2009.jpg/250px-Aleksej_Aleksandrov_2009.jpg,,,,aleksandrovaleksei,aleksej-aleksandrov,ALEKSANDROV73,17278,,,,,,
4135539,"Alekseenko, Kirill",AUT,M,GM,,1997,2015,false,,false,,,RUS,Saint Petersburg,RUS|FID|AUT,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/KirillAlekseenko19.jpg/250px-KirillAlekseenko19.jpg,,,,BilodeauA,kirill-alekseenko,,117648,,,kirill.alexx,,,kirill.alekseenko.3
4138147,"Alekseev, Evgeny",ISR,M,GM,,1985,2002,false,,false,,,ISR,"Pushkin, Saint Petersburg",RUS|ISR,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Evgeny_Alekseev_at_2013_Chess_World_Cup.png/250px-Evgeny_Alekseev_at_2013_Chess_World_Cup.png,,,,evgchess5,evgeny-alekseev,,68679,,,,,,
4277023,"Alexakis, Dimitris",GRE,M,GM,,2003,2025,false,,false,,,GRE,,GRE,,,,,tacticthunder,dimitris-alexakis,,,,,,,,
6300529,"Ali Marandi, Cemil Can",TUR,M,GM,,1998,2017,false,,false,,,TUR,İzmir,TUR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ali_Marandi%2CCemil_Can_2016_Karlsruhe.jpeg/250px-Ali_Marandi%2CCemil_Can_2016_Karlsruhe.jpeg,,,,Last7Samurai,cemil-can-ali-marandi,Last7Samurai,131631,,,,,,
702293,"Almasi, Zoltan",HUN,M,GM,,1976,1993,false,,false,,,HUN,Járdánháza,HUN,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Almashi2007.jpg/250px-Almashi2007.jpg,,,,,zoltan-almasi,,14210,,,,,,
3503313,"Almeida Quintana, Omar",CUB,M,GM,,1981,2006,false,,false,,,CUB,Havana,CUB,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Omar_Almeida_Quintana_2010.jpg/250px-Omar_Almeida_Quintana_2010.jpg,,,,GMALMEIDA,omar-almeida-quintana,,49104,,,,,,
2270544,"Alonso Rosell, Alvar",ESP,M,GM,,1992,2013,false,,false,,,ESP,Figueres,ESP,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/AlvarAlonsoRosell_%28cropped%29.jpg/250px-AlvarAlonsoRosell_%28cropped%29.jpg,,,,iwanyu,alvar-alonso-rosell,,96082,,,,,,
105198,"Alonso, Salvador",ARG,M,GM,,1974,2009,false,,false,,,ARG,Buenos Aires,ARG,,,Salvador Alonso is an Argentine chess Grandmaster (2009).,https://en.wikipedia.org/wiki/Salvador_Alonso,gaizca,salvador-alonso,,20995,,,,,,
2252627,"Alsina Leal, Daniel",ESP,M,GM,,1988,2010,false,,false,,,ESP,Barcelona,ESP,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Daniel_Alsina_Leal_2010.jpg/250px-Daniel_Alsina_Leal_2010.jpg,,,,,daniel-alsina-leal,,53885,,,,,,
2801906,"Alterman, Boris",ISR,M,GM,,1970,1992,false,,false,,,UKR,Kharkiv,ISR,https://upload.wikimedia.org/wikipedia/commons/2/2c/Alterman%2CBoris_1998_Recklinghausen.jpeg,,,,,boris-alterman,,17034,,,,,,
3507408,"Alvarez Pedraza, Aramis",CUB,M,GM,,1988,2010,false,,false,,,CUB,"Santa Clara, Cuba",CUB,,,,,pollo2016,aramis-alvarez-pedraza,,109958,,,,,,
14000652,"Amanov, Mesgen",TKM,M,GM,,1986,2009,false,,false,,,TKM,Daşoguz,TKM,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Mesgen.jpg/250px-Mesgen.jpg,,,,mesgen,mesgen-amanov,,56753,,,,,,
1533533,"Amar, Elham",NOR,M,GM,,2005,2024,false,,false,,,NOR,,NOR,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/GM_Elham_Amar.jpg/250px-GM_Elham_Amar.jpg,,,,Twitch_ElhamBlitz05,elham-abdrlauf,,160425,,abdrlauf,,,,
10601457,"Amin, Bassem",EGY,M,GM,,1988,2006,false,,false,,,EGY,Tanta,EGY,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/BassemAmin23.jpg/250px-BassemAmin23.jpg,,,,Dr-Bassem,bassem-amin,,87335,,GMBassemAmin,gm_bassem_amin,UC7tkW4B7RUEQmBbMPcMriEQ,,GMBassemAmin
14700077,"Amonatov, Farrukh",TJK,M,GM,,1978,2002,false,,false,,,TJK,Dushanbe,TJK,,,,,Farrukh_Amonatov,farrukh-amonatov,,50168,,,,,,
4204077,"Anagnostopoulos, Dimitri",GRE,M,GM,,1970,1996,false,,false,,,GRE,,GRE,,,,,,dimitri-anagnostopoulos,,53956,,,,,,
5000017,"Anand, Viswanathan",IND,M,GM,,1969,1988,false,,false,,,IND,Chennai,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Viswanathan_Anand_%282016%29_%28cropped%29.jpeg/250px-Viswanathan_Anand_%282016%29_%28cropped%29.jpeg,,,,TheVish,viswanathan-anand,Mas_Vishy,12088,,vishy64theking,vishy.mindmaster,,,
13300059,"Anastasian, Ashot",ARM,M,GM,,1964,1993,true,2016,false,,,ARM,Yerevan,ARM,,,,,,,,,,,,,,
1413864,"Andersen, Mads",DEN,M,GM,,1995,2016,false,,false,,,GRL,Nuuk,DEN,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/MadsAndersen13.jpg/250px-MadsAndersen13.jpg,,,,,mads-andersen,,105215,,,,,,
